GIST Output v4 spacing=0.5000 center=39.484000,35.880000,33.355000 dims=25,31,47 
voxel xcoord ycoord zcoord population g_O g_H dTStrans-dens(kcal/mol/A^3) dTStrans-norm(kcal/mol) dTSorient-dens(kcal/mol/A^3) dTSorient-norm(kcal/mol) dTSsix-dens(kcal/mol/A^3) dTSsix-norm(kcal/mol) Esw-dens(kcal/mol/A^3) Esw-norm(kcal/mol) Eww-dens(kcal/mol/A^3) Eww-norm-unref(kcal/mol) Dipole_x-dens(D/A^3) Dipole_y-dens(D/A^3) Dipole_z-dens(D/A^3) Dipole-dens(D/A^3) neighbor-dens(1/A^3) neighbor-norm order-norm
104 33.484 29.38 26.855 25 0.550898 0.646707 0 0 0.00485774 0.242887 0 0 -0.00146996 -0.0734981 -0.200237 -10.0118 0.00144882 0.0025118 -0.00196178 0.00350097 0.108 5.4 0 
105 33.484 29.38 27.355 40 1.05389 0.922156 0 0 -0.00368369 -0.115115 0 0 -0.00406278 -0.126962 -0.312033 -9.75104 -0.00639357 -0.000936224 -0.00319549 0.0072087 0.168 5.25 0 
106 33.484 29.38 27.855 39 1.05389 0.874251 0 0 -0.00186791 -0.0598689 0 0 -0.0133509 -0.427913 -0.299618 -9.60314 -0.00873153 -0.00685543 0.0124326 0.0166675 0.1624 5.20513 0 
107 33.484 29.38 28.355 39 0.886228 0.946108 0 0 -0.0090538 -0.290186 0 0 -0.0113484 -0.363731 -0.305507 -9.79189 0.0156431 -0.00416426 0.00600661 0.0172664 0.1672 5.35897 0 
108 33.484 29.38 28.855 37 0.958084 1.06587 0 0 0.00365827 0.12359 0 0 -0.0115061 -0.38872 -0.272069 -9.1915 0.0146122 -0.0123079 0.000875296 0.019125 0.1552 5.24324 0 
109 33.484 29.38 29.355 56 1.41317 1.07784 0 0 0.0126489 0.282342 0 0 -0.0132758 -0.296335 -0.432189 -9.64707 0.011607 -0.0100807 -0.0021134 0.0155181 0.232 5.17857 0 
110 33.484 29.38 29.855 24 0.598802 0.658683 0 0 0.000425443 0.0221585 0 0 -0.0101865 -0.530546 -0.171159 -8.91456 -0.00615104 -0.00823269 0.00319396 0.0107617 0.0992 5.16667 0 
111 33.484 29.38 30.355 16 0.407186 0.826347 0 0 -0.00369855 -0.288949 0 0 -0.010086 -0.787968 -0.11155 -8.71483 -0.00204373 -0.00178263 0.0098917 0.0102567 0.0704 5.5 0 
112 33.484 29.38 30.855 38 0.838323 0.634731 0 0 -0.00267621 -0.0880334 0 0 -0.0189127 -0.622129 -0.265657 -8.7387 -0.00677472 0.00851902 0.00809539 0.0135649 0.1464 4.81579 0 
113 33.484 29.38 31.355 35 0.862275 0.778443 0 0 0.000970022 0.0346437 0 0 -0.0171557 -0.612705 -0.268645 -9.59448 -0.0116264 0.0104399 0.00502494 0.0164138 0.1416 5.05714 0 
114 33.484 29.38 31.855 25 0.502994 0.730539 0 0 -0.00434939 -0.21747 0 0 -0.0181599 -0.907993 -0.190023 -9.50113 -0.00576 -0.0068365 0.00690691 0.0112969 0.0984 4.92 0 
115 33.484 29.38 32.355 28 0.790419 0.682635 0 0 -0.00120615 -0.0538459 0 0 -0.00468962 -0.209358 -0.229685 -10.2538 0.00924824 0.00052652 -0.0060538 0.011066 0.1104 4.92857 0 
116 33.484 29.38 32.855 24 0.550898 0.91018 0 0 -0.00842109 -0.438599 0 0 -0.00511119 -0.266208 -0.188671 -9.82661 -0.00146814 -0.00354813 -0.00714872 0.00811473 0.0912 4.75 0 
117 33.484 29.38 33.355 41 0.958084 1.01796 0 0 0.000896522 0.027333 0 0 -0.0276336 -0.842487 -0.301329 -9.18687 -0.00992488 -0.0125122 0.00120927 0.0160163 0.148 4.5122 0 
118 33.484 29.38 33.855 60 1.46108 1.60479 0 0 -0.0158125 -0.329427 0 0 -0.0424295 -0.883948 -0.406149 -8.46144 -0.002846 -0.0112045 -0.0130715 0.01745 0.2136 4.45 0 
119 33.484 29.38 34.355 102 2.49102 1.4012 0 0 -0.0249112 -0.305284 0 0 -0.109279 -1.33921 -0.669173 -8.20064 -0.0196963 -0.00692557 -0.0268477 0.0340103 0.3712 4.54902 0 
120 33.484 29.38 34.855 52 1.46108 0.922156 0 0 -0.0105611 -0.253874 0 0 -0.039448 -0.948269 -0.35673 -8.57525 0.00114931 -0.0129243 0.0171112 0.0214745 0.1784 4.28846 0 
121 33.484 29.38 35.355 22 0.45509 1.06587 0 0 -0.00768173 -0.436462 0 0 -0.00975043 -0.554002 -0.143655 -8.1622 0.00834674 -0.0119678 0.00849182 0.0168821 0.0704 4 0 
122 33.484 29.38 35.855 20 0.431138 1.62874 0 0 -0.011776 -0.736 0 0 -0.0143242 -0.895264 -0.131498 -8.21865 0.0114671 -0.0140882 0.00219723 0.0182975 0.0632 3.95 0 
123 33.484 29.38 36.355 10 0.407186 1.98802 0 0 -0.00932846 -1.16606 0 0 -0.0168877 -2.11096 -0.0616249 -7.70311 0.000483709 -0.0083683 -0.0106248 0.0135333 0.028 3.5 0 
